seed,condition,regret,birth_accuracy,final_accuracy,adaptation_lag,early_10,regret_10,early_25,regret_25,early_50,regret_50,git_dirty
0,ablated,36.59722219117813,0.20972222234639856,0.6830555565448271,,0.8736111008458667,1.2638889915413327,0.731481479515356,8.055555614539319,0.7018518509446747,17.888888943319518,1.0
0,best_fixed,31.916666822507977,0.2152777783986595,0.7247222215247651,,0.8819444320268102,1.1805556797318988,0.7574074051032463,7.277777846902609,0.7347222204941014,15.916666770353913,1.0
0,evolved,32.472222339775826,0.2152777783986595,0.7199999997599257,,0.8805555436346266,1.194444563653734,0.7546296271461028,7.361111185616917,0.7307870354054979,16.15277787567013,1.0
0,fixed,32.430555679731896,0.2152777783986595,0.7204166663603649,,0.8805555436346266,1.194444563653734,0.7546296271461028,7.361111185616917,0.7312499983408661,16.125000099548036,1.0
0,individual,36.59722219117813,0.20972222234639856,0.6830555565448271,,0.8736111008458667,1.2638889915413327,0.731481479515356,8.055555614539319,0.7018518509446747,17.888888943319518,1.0
0,random,32.44444459883703,0.2152777783986595,0.720138888205919,,0.8791666544146008,1.208333455853992,0.7550925902884316,7.3472222913470535,0.7291666647005413,16.250000117967527,1.0
0,scrambled,32.611111195551025,0.2152777783986595,0.7193055554396577,,0.8777777668502595,1.2222223314974043,0.7527777759565247,7.416666721304257,0.728935184560854,16.263888926348752,1.0
0,shuffled,32.375000124383305,0.2152777783986595,0.7212499996336798,,0.8805555436346266,1.194444563653734,0.7541666643487083,7.3750000695387525,0.7310185169766623,16.138888981400264,1.0
1,ablated,37.208333276212215,0.21944444409261146,0.6875000006105337,,0.8416666620307498,1.5833333796925015,0.6916666672806496,9.249999981580508,0.6886574070969665,18.68055557418201,1.0
1,best_fixed,32.861111123735704,0.22361111268401146,0.7293055552782284,,0.8402777740524875,1.5972222594751253,0.707870371915676,8.76388884252972,0.7155092597111232,17.06944441733261,1.0
1,evolved,33.54166668425832,0.22361111268401146,0.7223611108958721,,0.8444444404708015,1.5555555952919855,0.7074074087043604,8.77777773886919,0.7125000001828152,17.24999998903109,1.0
1,fixed,33.54166669667595,0.22361111268401146,0.7223611107716957,,0.8444444404708015,1.5555555952919855,0.7078703715017548,8.763888854947355,0.7127314814435387,17.23611111338768,1.0
1,individual,37.208333276212215,0.21944444409261146,0.6875000006105337,,0.8416666620307498,1.5833333796925015,0.6916666672806496,9.249999981580508,0.6886574070969665,18.68055557418201,1.0
1,random,33.02777776908543,0.22361111268401146,0.7284722222532662,,0.8402777732246451,1.5972222677535481,0.7060185196223082,8.819444411330753,0.7141203709912521,17.152777740524876,1.0
1,scrambled,33.36111112911668,0.22361111268401146,0.7240277775459819,,0.8444444404708015,1.5555555952919855,0.7083333347130705,8.749999958607885,0.713888888919933,17.166666664804023,1.0
1,shuffled,32.763888865916265,0.22361111268401146,0.7304166666956412,,0.8402777740524875,1.5972222594751253,0.7078703720536497,8.763888838390509,0.716435185926794,17.013888844392365,1.0
2,ablated,37.277777571645046,0.2749999999586079,0.6897222239731087,,0.8361111059784889,1.6388889402151108,0.6754629650601633,9.736111048195097,0.6835648172741963,18.986110963548224,1.0
2,best_fixed,33.000000009520186,0.2041666688811448,0.7287499994867378,,0.8444444412986437,1.5555555870135624,0.7013888905445734,8.958333283662796,0.7171296303298463,16.972222180209226,1.0
2,evolved,33.66666661885878,0.2041666688811448,0.7223611111131807,,0.8361111084620158,1.638888915379842,0.6995370387686072,9.013888836941785,0.7143518526314033,17.1388888421158,1.0
2,fixed,33.43055555596948,0.2041666688811448,0.7247222217834658,,0.8374999972681204,1.6250000273187954,0.7004629643978896,8.986111068063313,0.7148148153425642,17.111111079446143,1.0
2,individual,37.277777571645046,0.2749999999586079,0.6897222239731087,,0.8361111059784889,1.6388889402151108,0.6754629650601633,9.736111048195097,0.6835648172741963,18.986110963548224,1.0
2,random,32.70833335195979,0.2041666688811448,0.732638888226615,,0.8430555533203814,1.5694444667961862,0.6972222236088581,9.083333291734258,0.7141203711982126,17.15277772810724,1.0
2,scrambled,33.31944443906347,0.2041666688811448,0.7258333328697417,,0.8388888864881463,1.6111111351185374,0.7004629646738371,8.98611105978489,0.7150462967067681,17.097222197593915,1.0
2,shuffled,33.63888884170188,0.2041666688811448,0.7230555555679732,,0.8333333308498064,1.6666666915019352,0.6986111127943905,9.041666616168287,0.7136574083835714,17.180555496985715,1.0
