seed,condition,regret,birth_accuracy,final_accuracy,adaptation_lag,early_10,regret_10,early_25,regret_25,early_50,regret_50,git_dirty
0,ablated,120.64583292567275,0.25173611126633155,0.6999305565246484,,0.6967881947962774,12.128472208148903,0.6933680567502355,30.663194324976455,0.6963194455395246,60.736110892095084,0.0
0,best_fixed,87.77777867753886,0.26493055559694767,0.7972916634701606,,0.7351562495912529,10.593750016349885,0.7460069436657553,25.399305633424472,0.7648958317521546,47.020833649569084,0.0
0,evolved,88.52083419372018,0.26493055559694767,0.7946527749248262,,0.7337673607786807,10.649305568852773,0.7422569436047018,25.774305639529807,0.7637152760483635,47.2569447903273,0.0
0,fixed,110.75694428653352,0.26493055559694767,0.7185069452195118,,0.7282986109364882,10.868055562540475,0.7287847223950342,27.12152776049657,0.727725694663564,54.45486106728721,0.0
0,individual,120.64583292567275,0.25173611126633155,0.6999305565246484,,0.6967881947962774,12.128472208148903,0.6933680567502355,30.663194324976455,0.6963194455395246,60.736110892095084,0.0
0,random,109.38541661068383,0.26493055559694767,0.7244097223169067,,0.7274305555296855,10.902777778812581,0.7288541667654903,27.114583323450965,0.7290104168182653,54.197916636346946,0.0
0,scrambled,105.62500014823551,0.26493055559694767,0.7388888887155595,,0.7288194439542066,10.847222241831737,0.7300347219893916,26.996527801060843,0.7339236107033987,53.215277859320246,0.0
0,shuffled,87.7604175842781,0.26493055559694767,0.7955555526643163,,0.7348090272539088,10.607638909843647,0.7436805545766321,25.631944542336797,0.7658854148285981,46.82291703428038,0.0
1,ablated,120.5138884489942,0.2850694439580871,0.7015625013271347,,0.6991319440227622,12.03472223908951,0.6935416674086203,30.64583325913797,0.697256945221064,60.548610955787204,0.0
1,best_fixed,87.4236121512432,0.27222222345881164,0.7976736079539275,,0.734982638555165,10.600694457793402,0.7481597212971085,25.184027870289153,0.7680034701984065,46.39930596031869,0.0
1,evolved,88.51736206121535,0.27222222345881164,0.7938888857555058,,0.7295138892756464,10.819444428974142,0.7437847217700134,25.62152782299866,0.765138887159992,46.9722225680016,0.0
1,fixed,110.52083327564307,0.27222222345881164,0.7218402784188381,,0.726128472681416,10.95486109274336,0.7294791664229705,27.05208335770294,0.7284548609090659,54.30902781818683,0.0
