seed,specialist_private,specialist_social
0,0.31825809076292716,5.8115201467202064
1,0.6889928253249684,2.8339759387927415
2,1.6729394933030628,3.1125600228524557
3,0.2494665024944021,12.325043531719908
4,0.10438549088145224,4.732204527265813
5,0.5772064010245207,5.403136797843569
6,0.5943889387403747,3.44048979073772
7,0.09578602229628672,6.2983344107105195
8,1.8067608549796872,24.303447963743725
9,0.04275164318031265,2.644431707154527
10,0.35537499643625825,25.188384572120643
11,0.6606994182844053,2.6618835872602293
12,0.0005724128898070359,3.609886273763563
13,0.015047444210557351,69.40675174243675
14,0.4301038002951189,11.415550363035958
15,0.4494798131177727,7.17860614380998
16,0.3688628077349777,2.6676848992288016
17,0.6676066512300751,33.006176894448245
18,0.5918411141704352,13.559487041459544
19,3.338352619986528,2.494522279010385
